borrow_id,user_id,book_isbn,book_title,category,borrow_date,due_date,return_date,renew_count,library_branch
54,24,978-0-9577457-6-6,Horizontal real-time leverage,K203,2024-10-25 00:00:00,2024-11-24 00:00:00,2024-11-25 00:00:00,2,主馆
55,25,978-0-498-40391-0,Mandatory multi-state capability,I247.5,2024-09-06 00:00:00,2024-10-06 00:00:00,2024-10-04 00:00:00,1,主馆
56,25,978-0-591-31337-6,Diverse fault-tolerant concept,TP312,2024-09-06 00:00:00,2024-10-06 00:00:00,2024-10-10 00:00:00,1,主馆
57,26,978-1-922822-36-9,Extended contextually-based portal,TP312,2024-12-14 00:00:00,2025-01-13 00:00:00,2025-01-09 00:00:00,0,主馆
58,26,978-1-76228-525-6,Right-sized bandwidth-monitored circuit,K203,2024-12-13 00:00:00,2025-01-12 00:00:00,,1,主馆
59,27,978-1-09-097515-7,Public-key zero-defect contingency,K203,2024-09-05 00:00:00,2024-10-05 00:00:00,2024-10-15 00:00:00,2,主馆
60,28,978-0-7911-9203-0,Upgradable leadingedge matrices,I247.5,2024-10-29 00:00:00,2024-11-28 00:00:00,2024-11-27 00:00:00,1,主馆
61,28,978-0-15-488356-8,Open-source 24hour interface,H319.4,2024-09-28 00:00:00,2024-10-28 00:00:00,2024-10-26 00:00:00,1,主馆
62,29,978-1-5431-0460-8,Distributed full-range project,O13,2024-11-16 00:00:00,2024-12-16 00:00:00,2024-12-18 00:00:00,2,主馆
63,29,978-1-75332-096-6,Persevering 3rdgeneration software,H319.4,2024-12-16 00:00:00,2025-01-15 00:00:00,,1,主馆
64,29,978-0-7371-7608-7,Multi-layered coherent adapter,O13,2024-09-23 00:00:00,2024-10-23 00:00:00,2024-10-22 00:00:00,1,主馆
65,30,978-0-502-71187-1,Networked 3rdgeneration pricing structure,K203,2024-10-09 00:00:00,2024-11-08 00:00:00,2024-11-16 00:00:00,2,主馆
66,32,978-0-684-08818-1,Reverse-engineered modular application,I247.5,2024-12-12 00:00:00,2025-01-11 00:00:00,2025-01-13 00:00:00,0,主馆
67,32,978-1-04-156707-3,Programmable asymmetric implementation,H319.4,2024-10-11 00:00:00,2024-11-10 00:00:00,2024-11-12 00:00:00,2,主馆
68,33,978-1-4325-8833-5,Optional transitional time-frame,I247.5,2024-10-15 00:00:00,2024-11-14 00:00:00,2024-11-10 00:00:00,2,主馆
69,34,978-0-354-58145-5,Right-sized value-added structure,TP312,2024-10-20 00:00:00,2024-11-19 00:00:00,2024-11-27 00:00:00,1,主馆
70,37,978-0-374-28383-4,Synergized attitude-oriented architecture,I247.5,2024-10-06 00:00:00,2024-11-05 00:00:00,2024-11-04 00:00:00,0,主馆
71,37,978-0-88307-392-6,Networked global emulation,I247.5,2024-11-16 00:00:00,2024-12-16 00:00:00,,0,主馆
72,37,978-0-321-52744-8,Cloned holistic installation,O13,2024-09-19 00:00:00,2024-10-19 00:00:00,2024-10-25 00:00:00,2,主馆
73,37,978-0-520-32039-0,Reactive zero-defect model,O13,2024-09-23 00:00:00,2024-10-23 00:00:00,2024-10-26 00:00:00,1,主馆
74,38,978-1-02-735647-9,Inverse stable middleware,I247.5,2024-09-10 00:00:00,2024-10-10 00:00:00,,0,主馆
75,38,978-1-5166-3978-6,Focused eco-centric benchmark,TP312,2024-09-18 00:00:00,2024-10-18 00:00:00,2024-10-22 00:00:00,2,主馆
76,39,978-0-7065-1255-7,Future-proofed logistical knowledgebase,H319.4,2024-11-08 00:00:00,2024-12-08 00:00:00,2024-12-09 00:00:00,2,主馆
77,39,978-1-369-45407-9,Public-key 5thgeneration definition,H319.4,2024-09-22 00:00:00,2024-10-22 00:00:00,2024-10-27 00:00:00,2,主馆
78,39,978-0-19-324785-7,Face-to-face user-facing intranet,TP312,2024-10-05 00:00:00,2024-11-04 00:00:00,,2,主馆
79,39,978-0-919949-66-9,Optimized 5thgeneration portal,I247.5,2024-10-25 00:00:00,2024-11-24 00:00:00,2024-11-23 00:00:00,1,主馆
80,40,978-1-4359-8383-0,Persistent zero-defect paradigm,K203,2024-11-10 00:00:00,2024-12-10 00:00:00,2024-12-18 00:00:00,1,主馆
81,41,978-1-9776-7567-5,Up-sized dedicated methodology,I247.5,2024-11-20 00:00:00,2024-12-20 00:00:00,2024-12-22 00:00:00,2,主馆
82,41,978-0-442-93721-8,Robust contextually-based customer loyalty,I247.5,2024-09-24 00:00:00,2024-10-24 00:00:00,2024-10-26 00:00:00,0,主馆
83,42,978-0-01-219132-3,User-centric context-sensitive concept,I247.5,2024-11-04 00:00:00,2024-12-04 00:00:00,2024-11-29 00:00:00,0,主馆
84,42,978-1-60686-557-6,Cross-platform local toolset,H319.4,2024-12-10 00:00:00,2025-01-09 00:00:00,,0,主馆
85,42,978-0-562-28121-5,Diverse interactive migration,O13,2024-11-13 00:00:00,2024-12-13 00:00:00,2024-12-17 00:00:00,0,主馆
86,43,978-1-994723-23-6,Open-architected real-time hardware,TP312,2024-11-13 00:00:00,2024-12-13 00:00:00,,1,主馆
87,43,978-1-300-18885-8,Automated multimedia frame,K203,2024-11-10 00:00:00,2024-12-10 00:00:00,2024-12-05 00:00:00,2,主馆
88,43,978-0-332-61233-1,Upgradable attitude-oriented leverage,K203,2024-10-30 00:00:00,2024-11-29 00:00:00,2024-12-04 00:00:00,1,主馆
89,44,978-1-194-73707-1,De-engineered non-volatile paradigm,I247.5,2024-11-17 00:00:00,2024-12-17 00:00:00,2024-12-26 00:00:00,2,主馆
90,44,978-0-7852-9512-9,Cross-platform directional structure,I247.5,2024-11-08 00:00:00,2024-12-08 00:00:00,2024-12-03 00:00:00,1,主馆
91,46,978-1-58344-280-7,Optional motivating complexity,O13,2024-09-26 00:00:00,2024-10-26 00:00:00,2024-10-22 00:00:00,1,主馆
92,47,978-1-133-09016-8,De-engineered dynamic installation,H319.4,2024-09-04 00:00:00,2024-10-04 00:00:00,2024-10-09 00:00:00,0,主馆
93,48,978-1-150-46245-0,Multi-tiered reciprocal Local Area Network,K203,2024-12-04 00:00:00,2025-01-03 00:00:00,2025-01-13 00:00:00,0,主馆
94,48,978-0-7148-2351-5,Balanced multi-state hardware,H319.4,2024-10-25 00:00:00,2024-11-24 00:00:00,2024-12-03 00:00:00,0,主馆
95,49,978-0-425-02631-1,Front-line methodical framework,K203,2024-10-12 00:00:00,2024-11-11 00:00:00,2024-11-14 00:00:00,0,主馆
96,49,978-1-938551-19-2,Secured mobile customer loyalty,H319.4,2024-09-04 00:00:00,2024-10-04 00:00:00,,0,主馆
97,50,978-1-247-55990-2,Extended clear-thinking collaboration,K203,2024-12-02 00:00:00,2025-01-01 00:00:00,2025-01-08 00:00:00,2,主馆
98,50,978-0-445-27658-1,Switchable client-server methodology,I247.5,2024-09-12 00:00:00,2024-10-12 00:00:00,2024-10-16 00:00:00,2,主馆
99,50,978-0-635-34603-2,Streamlined solution-oriented attitude,H319.4,2024-10-01 00:00:00,2024-10-31 00:00:00,2024-10-31 00:00:00,1,主馆
100,50,978-1-262-69552-4,Reactive real-time analyzer,K203,2024-11-18 00:00:00,2024-12-18 00:00:00,2024-12-22 00:00:00,0,主馆
101,51,978-0-936712-89-5,Centralized systematic methodology,K203,2024-11-06 00:00:00,2024-12-06 00:00:00,2024-12-01 00:00:00,2,主馆
102,51,978-1-308-54771-8,Re-contextualized zero administration algorithm,K203,2024-11-16 00:00:00,2024-12-16 00:00:00,2024-12-21 00:00:00,1,主馆
103,51,978-0-542-55987-7,Digitized even-keeled orchestration,K203,2024-12-11 00:00:00,2025-01-10 00:00:00,2025-01-08 00:00:00,0,主馆
104,52,978-1-5404-0543-2,Synchronized 3rdgeneration infrastructure,O13,2024-11-18 00:00:00,2024-12-18 00:00:00,2024-12-27 00:00:00,2,主馆
105,53,978-1-362-31667-1,Cloned fault-tolerant encoding,I247.5,2024-12-02 00:00:00,2025-01-01 00:00:00,2025-01-09 00:00:00,0,主馆
106,53,978-1-294-82614-9,Operative context-sensitive conglomeration,K203,2024-11-21 00:00:00,2024-12-21 00:00:00,2024-12-31 00:00:00,0,主馆
107,53,978-1-341-37449-4,Synchronized modular orchestration,H319.4,2024-12-10 00:00:00,2025-01-09 00:00:00,,1,主馆
108,53,978-0-7382-2998-0,Implemented stable info-mediaries,H319.4,2024-10-15 00:00:00,2024-11-14 00:00:00,2024-11-11 00:00:00,2,主馆
109,54,978-1-7321206-7-9,Upgradable optimal success,O13,2024-09-20 00:00:00,2024-10-20 00:00:00,2024-10-24 00:00:00,1,主馆
110,54,978-0-685-43817-6,Multi-tiered dynamic policy,I247.5,2024-10-08 00:00:00,2024-11-07 00:00:00,,0,主馆
111,54,978-1-903771-08-2,Self-enabling static array,K203,2024-09-11 00:00:00,2024-10-11 00:00:00,2024-10-09 00:00:00,2,主馆
112,55,978-0-388-51310-1,Innovative local protocol,I247.5,2024-09-13 00:00:00,2024-10-13 00:00:00,2024-10-09 00:00:00,1,主馆
113,55,978-0-558-38496-8,Optional eco-centric throughput,K203,2024-10-09 00:00:00,2024-11-08 00:00:00,2024-11-07 00:00:00,2,主馆
114,57,978-1-83006-554-4,Down-sized non-volatile ability,TP312,2024-10-01 00:00:00,2024-10-31 00:00:00,2024-10-30 00:00:00,0,主馆
115,58,978-1-81334-277-8,Digitized incremental product,H319.4,2024-11-27 00:00:00,2024-12-27 00:00:00,2025-01-02 00:00:00,0,主馆
116,58,978-0-519-74757-3,Customizable high-level paradigm,H319.4,2024-09-05 00:00:00,2024-10-05 00:00:00,2024-10-03 00:00:00,1,主馆
117,58,978-1-60365-087-8,User-friendly upward-trending emulation,H319.4,2024-12-03 00:00:00,2025-01-02 00:00:00,2025-01-09 00:00:00,2,主馆
118,58,978-1-4620-4183-1,Grass-roots real-time standardization,K203,2024-10-06 00:00:00,2024-11-05 00:00:00,2024-11-10 00:00:00,2,主馆
119,59,978-1-886514-88-1,Innovative executive help-desk,K203,2024-09-08 00:00:00,2024-10-08 00:00:00,2024-10-04 00:00:00,2,主馆
120,59,978-1-5107-6861-1,Distributed system-worthy implementation,K203,2024-10-01 00:00:00,2024-10-31 00:00:00,2024-11-06 00:00:00,0,主馆
121,59,978-1-125-09082-4,Pre-emptive mobile concept,O13,2024-10-30 00:00:00,2024-11-29 00:00:00,2024-12-07 00:00:00,0,主馆
122,60,978-1-70337-771-2,User-centric uniform array,I247.5,2024-09-14 00:00:00,2024-10-14 00:00:00,,2,主馆
123,61,978-0-07-600577-2,Optional needs-based workforce,K203,2024-11-30 00:00:00,2024-12-30 00:00:00,2025-01-08 00:00:00,0,主馆
124,62,978-1-07-065500-0,Public-key holistic function,H319.4,2024-09-07 00:00:00,2024-10-07 00:00:00,2024-10-09 00:00:00,1,主馆
125,63,978-1-4976-3176-2,Optimized asymmetric success,O13,2024-12-16 00:00:00,2025-01-15 00:00:00,,0,主馆
126,63,978-1-277-62710-7,Business-focused solution-oriented portal,TP312,2024-09-19 00:00:00,2024-10-19 00:00:00,2024-10-17 00:00:00,2,主馆
127,65,978-0-408-53122-1,Implemented tangible algorithm,O13,2024-11-26 00:00:00,2024-12-26 00:00:00,2025-01-01 00:00:00,0,主馆
128,66,978-0-419-95670-9,User-friendly clear-thinking budgetary management,H319.4,2024-10-30 00:00:00,2024-11-29 00:00:00,2024-11-27 00:00:00,0,主馆
129,66,978-1-7366542-0-0,Fully-configurable human-resource firmware,K203,2024-10-30 00:00:00,2024-11-29 00:00:00,2024-12-02 00:00:00,1,主馆
130,68,978-1-185-19315-2,Virtual modular function,H319.4,2024-10-23 00:00:00,2024-11-22 00:00:00,2024-12-02 00:00:00,0,主馆
131,69,978-0-646-20485-7,Devolved fresh-thinking infrastructure,K203,2024-12-05 00:00:00,2025-01-04 00:00:00,2025-01-08 00:00:00,1,主馆
132,69,978-0-612-21856-7,Re-engineered eco-centric contingency,I247.5,2024-10-03 00:00:00,2024-11-02 00:00:00,2024-10-29 00:00:00,2,主馆
133,71,978-1-71090-529-8,Multi-lateral asymmetric structure,TP312,2024-10-02 00:00:00,2024-11-01 00:00:00,2024-11-06 00:00:00,0,主馆
134,72,978-1-75983-441-2,Versatile leadingedge monitoring,TP312,2024-09-07 00:00:00,2024-10-07 00:00:00,2024-10-04 00:00:00,1,主馆
135,72,978-1-09-417155-5,Mandatory holistic structure,H319.4,2024-10-11 00:00:00,2024-11-10 00:00:00,2024-11-20 00:00:00,0,主馆
136,73,978-1-394-24878-0,Pre-emptive mobile standardization,O13,2024-11-21 00:00:00,2024-12-21 00:00:00,2024-12-25 00:00:00,0,主馆
137,75,978-0-651-83071-3,Ameliorated 4thgeneration forecast,O13,2024-12-15 00:00:00,2025-01-14 00:00:00,,0,主馆
138,75,978-0-7095-4691-7,Progressive homogeneous contingency,K203,2024-12-01 00:00:00,2024-12-31 00:00:00,2025-01-07 00:00:00,1,主馆
139,75,978-0-06-963500-9,Future-proofed mobile help-desk,K203,2024-10-03 00:00:00,2024-11-02 00:00:00,2024-11-08 00:00:00,0,主馆
140,77,978-0-11-928403-4,Managed logistical contingency,I247.5,2024-11-20 00:00:00,2024-12-20 00:00:00,2024-12-23 00:00:00,2,主馆
141,77,978-1-199-44290-1,Organized 6thgeneration success,H319.4,2024-09-27 00:00:00,2024-10-27 00:00:00,2024-10-27 00:00:00,1,主馆
142,77,978-0-450-14135-5,Devolved coherent paradigm,I247.5,2024-11-09 00:00:00,2024-12-09 00:00:00,,1,主馆
143,77,978-0-85116-141-9,Open-source hybrid standardization,H319.4,2024-09-08 00:00:00,2024-10-08 00:00:00,2024-10-17 00:00:00,0,主馆
144,78,978-1-61022-157-3,Organized interactive attitude,TP312,2024-10-26 00:00:00,2024-11-25 00:00:00,,2,主馆
145,78,978-0-651-32348-2,Mandatory system-worthy throughput,K203,2024-10-04 00:00:00,2024-11-03 00:00:00,2024-11-11 00:00:00,1,主馆
146,78,978-0-09-241635-4,Grass-roots holistic open architecture,H319.4,2024-09-24 00:00:00,2024-10-24 00:00:00,2024-10-19 00:00:00,2,主馆
147,80,978-1-4569-0111-0,Pre-emptive 3rdgeneration frame,K203,2024-10-10 00:00:00,2024-11-09 00:00:00,2024-11-07 00:00:00,1,主馆
148,80,978-1-78920-517-6,Stand-alone regional migration,I247.5,2024-12-13 00:00:00,2025-01-12 00:00:00,,0,主馆
149,80,978-0-07-775475-4,Profound zero administration infrastructure,TP312,2024-09-10 00:00:00,2024-10-10 00:00:00,2024-10-14 00:00:00,2,主馆
150,81,978-1-237-64413-7,Object-based grid-enabled implementation,O13,2024-10-15 00:00:00,2024-11-14 00:00:00,2024-11-21 00:00:00,0,主馆
151,82,978-0-05-715121-4,Ameliorated coherent website,K203,2024-10-08 00:00:00,2024-11-07 00:00:00,2024-11-10 00:00:00,2,主馆
152,82,978-0-428-38321-3,Switchable intangible core,K203,2024-12-08 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,1,主馆
153,83,978-1-56181-669-9,Front-line global Graphical User Interface,I247.5,2024-12-13 00:00:00,2025-01-12 00:00:00,,2,主馆
154,83,978-0-87961-072-2,Self-enabling exuding budgetary management,H319.4,2024-11-01 00:00:00,2024-12-01 00:00:00,2024-12-05 00:00:00,1,主馆
155,83,978-0-10-390423-8,Multi-channeled discrete methodology,TP312,2024-11-30 00:00:00,2024-12-30 00:00:00,,2,主馆
156,84,978-1-63921-659-8,Programmable multi-tasking firmware,K203,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-09-27 00:00:00,1,主馆
157,84,978-0-343-49294-6,Team-oriented motivating functionalities,K203,2024-11-19 00:00:00,2024-12-19 00:00:00,2024-12-26 00:00:00,2,主馆
158,84,978-1-5328-4634-2,Right-sized 4thgeneration intranet,TP312,2024-10-01 00:00:00,2024-10-31 00:00:00,2024-11-07 00:00:00,1,主馆
159,84,978-0-567-01227-2,Reactive content-based throughput,H319.4,2024-11-06 00:00:00,2024-12-06 00:00:00,2024-12-07 00:00:00,1,主馆
160,84,978-0-933822-19-1,Down-sized multi-tasking artificial intelligence,O13,2024-11-29 00:00:00,2024-12-29 00:00:00,2025-01-02 00:00:00,1,主馆
161,85,978-1-4140-9563-9,Persistent dedicated software,TP312,2024-12-10 00:00:00,2025-01-09 00:00:00,,1,主馆
162,85,978-1-4060-0687-2,Seamless mobile synergy,O13,2024-10-02 00:00:00,2024-11-01 00:00:00,2024-11-05 00:00:00,1,主馆
163,86,978-0-946448-75-3,Advanced dedicated approach,O13,2024-09-17 00:00:00,2024-10-17 00:00:00,,2,主馆
164,87,978-1-343-26716-9,Focused multi-tasking portal,H319.4,2024-11-16 00:00:00,2024-12-16 00:00:00,2024-12-21 00:00:00,0,主馆
165,87,978-1-365-31221-2,Exclusive heuristic database,O13,2024-10-28 00:00:00,2024-11-27 00:00:00,2024-11-22 00:00:00,2,主馆
166,88,978-0-87301-750-3,Reverse-engineered mission-critical orchestration,I247.5,2024-09-04 00:00:00,2024-10-04 00:00:00,2024-10-10 00:00:00,0,主馆
167,89,978-1-06-975716-6,Progressive exuding support,O13,2024-11-23 00:00:00,2024-12-23 00:00:00,2024-12-27 00:00:00,2,主馆
168,89,978-1-4250-2477-2,Robust modular workforce,O13,2024-10-27 00:00:00,2024-11-26 00:00:00,2024-11-28 00:00:00,2,主馆
169,89,978-0-259-98787-1,Public-key reciprocal algorithm,I247.5,2024-11-11 00:00:00,2024-12-11 00:00:00,2024-12-08 00:00:00,1,主馆
170,89,978-1-56019-635-8,Robust methodical alliance,K203,2024-10-07 00:00:00,2024-11-06 00:00:00,,1,主馆
171,90,978-1-5073-2117-1,Robust bandwidth-monitored capacity,TP312,2024-10-26 00:00:00,2024-11-25 00:00:00,2024-11-28 00:00:00,1,主馆
172,90,978-0-493-95982-5,Up-sized bi-directional ability,O13,2024-11-16 00:00:00,2024-12-16 00:00:00,2024-12-23 00:00:00,1,主馆
173,91,978-1-4811-4603-6,Mandatory 3rdgeneration structure,K203,2024-10-10 00:00:00,2024-11-09 00:00:00,2024-11-19 00:00:00,2,主馆
174,92,978-0-664-00456-9,Visionary systematic utilization,I247.5,2024-12-04 00:00:00,2025-01-03 00:00:00,,0,主馆
175,94,978-1-02-773672-1,Function-based static workforce,O13,2024-11-23 00:00:00,2024-12-23 00:00:00,2024-12-22 00:00:00,0,主馆
176,95,978-1-77395-761-6,Intuitive real-time architecture,K203,2024-09-14 00:00:00,2024-10-14 00:00:00,2024-10-12 00:00:00,0,主馆
177,95,978-1-67904-152-5,Organized exuding productivity,TP312,2024-09-15 00:00:00,2024-10-15 00:00:00,2024-10-12 00:00:00,1,主馆
178,96,978-0-214-75626-9,Fully-configurable zero-defect focus group,H319.4,2024-12-15 00:00:00,2025-01-14 00:00:00,2025-01-12 00:00:00,0,主馆
179,97,978-0-410-45633-8,Horizontal tertiary success,I247.5,2024-10-10 00:00:00,2024-11-09 00:00:00,2024-11-04 00:00:00,0,主馆
180,97,978-1-4880-7272-7,Re-contextualized radical frame,O13,2024-11-12 00:00:00,2024-12-12 00:00:00,,1,主馆
181,98,978-1-321-57174-5,Re-engineered motivating encoding,K203,2024-12-04 00:00:00,2025-01-03 00:00:00,2024-12-31 00:00:00,2,主馆
182,98,978-0-9961273-5-6,Horizontal impactful hub,O13,2024-09-05 00:00:00,2024-10-05 00:00:00,2024-10-12 00:00:00,2,主馆
183,98,978-0-268-24452-1,Face-to-face secondary focus group,H319.4,2024-10-11 00:00:00,2024-11-10 00:00:00,2024-11-16 00:00:00,1,主馆
184,98,978-0-07-558393-6,Centralized contextually-based forecast,TP312,2024-11-04 00:00:00,2024-12-04 00:00:00,2024-11-30 00:00:00,2,主馆
185,99,978-1-181-73521-9,Team-oriented optimizing website,O13,2024-12-07 00:00:00,2025-01-06 00:00:00,2025-01-09 00:00:00,2,主馆
